Species,Presence_Count
Prismatomeris_tetrandra,13
Prunus_ceylanica,35
Psychotria_anamallayana,19
Psychotria_dalzellii,40
Psychotria_flavida,10
Psychotria_nigra,140
Psychotria_truncata,23
Psydrax_dicoccos,52
Pterospermum_diversifolium,21
Pterospermum_reticulatum,26
Pterospermum_rubiginosum,11
Pterygota_alata,31
Putranjiva_roxburghii,3
Rapanea_wightiana,8
Reinwardtiodendron_anamalaiense,142
Rinorea_bengalensis,3
Rourea_minor,5
Sageraea_laurina,17
Sageraea_thwaitesii,37
Saprosma_corymbosum,12
Saprosma_glomerata,27
Saraca_asoca,9
Sarcococca_pruniformis,3
Schefflera_micrantha,8
Schefflera_venulosa,3
Scleropyrum_pentandrum,3
Scolopia_crenata,24
Scutia_myrtina,18
Semecarpus_auriculata,29
Semecarpus_travancorica,10
Smythea_bombaiensis,13
Spondias_pinnata,10
Sterculia_guttata,24
Stereospermum_tetragonum,44
Strombosia_ceylanica,62
Symplocos_cochinchinensis,6
Symplocos_macrophylla,25
Symplocos_racemosa,69
Symplocos_rosea,28
Syzygium_benthamianum,9
Syzygium_calophyllifolium,6
Syzygium_caryophyllatum,17
Syzygium_cumini,150
Syzygium_densiflorum,19
Syzygium_gardneri,178
Syzygium_grande,16
Syzygium_hemisphericum,84
Syzygium_laetum,151
Syzygium_lanceolatum,13
Syzygium_mundagam,45
Syzygium_munronii,49
Syzygium_rubicundum,16
Syzygium_zeylanicum,4
Tabernaemontana_alternifolia,121
Tabernaemontana_gamblei,19
Tarenna_asiatica,3
Tarenna_nilagirica,12
Terminalia_bellirica,63
Terminalia_chebula,23
Terminalia_paniculata,83
Terminalia_travancorensis,18
Tetrameles_nudiflora,12
Tetrapilus_dioicus,31
Toona_ciliata,18
Tritaxis_glabella,5
Turpinia_cochinchinensis,3
Turpinia_malabarica,31
Turraea_pubescens,5
Vateria_indica,80
Vepris_bilocularis,74
Vitex_altissima,62
Walsura_trifoliolata,37
Wendlandia_thyrsoidea,3
Xanthophyllum_arnottianum,62
Xantolis_tomentosa,83
Xylopia_patoniae,8
Zanthoxylum_rhetsa,11
